date,0,1,2,3,4,5,6
2/4/2018,0.16505868,0.021554773,0.47533824,0.58184348,-0.520194614,0.098489706,0.822090266
2/11/2018,0.126696291,0.077980526,0.28722955,0.540715128,-0.527275686,0.100085136,0.605430945
2/18/2018,-0.254967387,0.105923652,0.06785523,0.495134577,-0.534204534,0.101676765,-0.018581697
2/25/2018,0.293801887,0.071899955,-0.169369756,0.446053759,-0.540985701,0.103264502,0.204664647
3/4/2018,-0.09051666,-0.018031323,-0.411005244,0.394424603,-0.547623728,0.104848261,-0.567904091
3/11/2018,-0.112252893,-0.136451373,-0.643602512,0.34119904,-0.554123158,0.106427951,-0.998802945
3/18/2018,-0.170588031,-0.252881132,-0.853712837,0.287329,-0.560488533,0.108003483,-1.442338049
3/25/2018,-0.464089612,-0.336841536,-1.027887497,0.233766414,-0.566724394,0.10957477,-2.052201856
4/1/2018,-0.035743933,-0.366861238,-1.15267777,0.181463211,-0.572835285,0.111141721,-1.835513294
4/8/2018,0.428782416,-0.356570507,-1.21556419,0.131371323,-0.578825748,0.112704248,-1.478102458
4/15/2018,0.499230831,-0.32264859,-1.209881232,0.08433788,-0.584700324,0.114262263,-1.419399173
4/22/2018,0.499128727,-0.268489052,-1.139210902,0.04068635,-0.590463556,0.115815675,-1.342532757
4/29/2018,0.347943973,-0.18017628,-1.012354546,0.000217525,-0.596119986,0.117364397,-1.323124917
5/6/2018,-0.254302785,-0.040948148,-0.838884117,-0.037372277,-0.601674156,0.118908339,-1.654273144
5/13/2018,-0.374992663,0.142898437,-0.628371565,-0.072386735,-0.607130608,0.120447412,-1.419535721
5/20/2018,-0.299541769,0.351463376,-0.390388841,-0.105129528,-0.612493885,0.121981528,-0.93410912
5/27/2018,-0.047292437,0.510483804,-0.134507898,-0.135904338,-0.617768529,0.123510598,-0.301478799
6/3/2018,0.17421215,0.531668338,0.129699315,-0.165014844,-0.622959081,0.125034532,0.17264041
6/10/2018,-0.112702559,0.354567182,0.392936895,-0.192764725,-0.628070085,0.126553242,-0.059480048
6/17/2018,-0.035635311,0.043776365,0.646456124,-0.219457661,-0.633106082,0.128066639,-0.069899925
6/24/2018,0.009108676,-0.265547997,0.879556274,-0.245397333,-0.638071614,0.129574634,-0.130777359
7/1/2018,0.022795617,-0.47687807,1.080979604,-0.270887421,-0.642971224,0.131077138,-0.155884356
7/8/2018,-0.040455589,-0.536135904,1.239927186,-0.296231603,-0.647809454,0.132574063,-0.148131302
7/15/2018,0.086186942,-0.454748977,1.349835507,-0.321733561,-0.652590846,0.134065318,0.141014384
7/22/2018,-0.156918399,-0.294624038,1.414200504,-0.347696973,-0.657319942,0.135550816,0.093191969
7/29/2018,0.209324895,-0.126308673,1.4389069,-0.374414152,-0.662001285,0.137030468,0.622538154
8/5/2018,0.349753302,0.036067977,1.429779121,-0.402117108,-0.666639416,0.138504184,0.885348061
8/12/2018,0.198274237,0.192214318,1.392537257,-0.430933518,-0.671238877,0.139971875,0.820825293
8/19/2018,0.08192413,0.336933933,1.332751878,-0.460841539,-0.675804212,0.141433454,0.756397643
8/26/2018,-0.510313071,0.463804197,1.25595988,-0.491785654,-0.680339962,0.14288883,0.18021422
9/2/2018,-0.788127086,0.565724147,1.1683765,-0.523710344,-0.684850669,0.144337915,-0.118249537
9/9/2018,-0.3664494,0.631748831,1.07893034,-0.556560091,-0.689340876,0.14578062,0.244109425
9/16/2018,-0.048373342,0.64755445,0.995406372,-0.590279377,-0.693815125,0.147216857,0.457709835
9/23/2018,0.147875742,0.605081306,0.918194841,-0.624812686,-0.698277957,0.148646535,0.496707782
9/30/2018,0.515800212,0.498518962,0.845436734,-0.660104498,-0.702733915,0.150069567,0.646987062
10/7/2018,0.802227841,0.322163804,0.775166213,-0.696099296,-0.707187542,0.151485863,0.647756884
10/14/2018,1.029959086,0.068853663,0.705417444,-0.732741562,-0.711643379,0.152895335,0.512740588
10/21/2018,1.094823188,-0.258656289,0.634224591,-0.769975778,-0.716105969,0.154297893,0.138607637
10/28/2018,0.92315289,-0.586386733,0.559621817,-0.807746426,-0.720579853,0.155693449,-0.476244856
11/4/2018,-0.97805832,-0.785900815,0.479643288,-0.845997988,-0.725069574,0.157081914,-2.698301497
11/11/2018,0.303063625,-0.751791351,0.391652198,-0.884674948,-0.729579675,0.158463199,-1.512866952
11/18/2018,0.780995756,-0.510137657,0.290989706,-0.923721785,-0.734114697,0.159837214,-0.936151463
11/25/2018,0.72547168,-0.127187395,0.174973362,-0.963082984,-0.738679183,0.161203872,-0.767300647
12/2/2018,0.444195533,0.304305247,0.041582555,-1.002703025,-0.743277674,0.162563083,-0.793334281
12/9/2018,-0.23398422,0.659217532,-0.111203327,-1.042526392,-0.747914713,0.163914758,-1.312496362
