date,生猪,白萝卜,白条鸡,白条猪,大黄花鱼,豆粕,牛肉,农产品批发价格200指数,羊肉,玉米,进口量(吨),出口量(吨),进口金额(万美元),出口金额(万美元),原始生猪
4/10/2016,19.03732473,1.579686979,15.18903943,25.48467635,42.24686498,2975.195978,53.14938418,107.7183011,45.14254224,1762.059068,67057.01865,6527.35368,12933.24524,2414.959486,19.44307692
4/17/2016,18.98867234,1.576775582,15.16372907,25.43232129,42.26872322,2984.229622,53.15288322,107.5465337,45.13767899,1760.382439,66923.37614,6529.17313,12889.24506,2417.062191,19.73025641
4/24/2016,18.93982961,1.573847506,15.13839838,25.37979801,42.2905368,2993.171492,53.15643269,107.3755794,45.13311868,1758.709663,66787.12276,6531.052932,12844.81638,2419.143555,20.0174359
5/1/2016,18.8908103,1.570902938,15.11305386,25.32711416,42.31231141,3002.022177,53.16002895,107.2054098,45.12886891,1757.040569,66648.40937,6532.991777,12799.98893,2421.203354,20.30461538
5/8/2016,18.84162765,1.567941653,15.08770194,25.27427687,42.33405377,3010.782594,53.16366852,107.0359903,45.12493773,1755.375082,66507.39056,6534.988613,12754.79334,2423.241559,20.59179487
5/15/2016,18.79229395,1.564963072,15.06234883,25.22129262,42.35577192,3019.453975,53.16734821,106.8672812,45.12133354,1753.713235,66364.21907,6537.042406,12709.25986,2425.258277,20.8585348
5/22/2016,18.7428201,1.561966322,15.03700038,25.16816704,42.37747506,3028.037855,53.17106534,106.6992399,45.1180651,1752.055159,66219.04737,6539.152036,12663.41862,2427.253741,21.02071429
5/29/2016,18.69321527,1.558950286,15.01166214,25.11490492,42.39917278,3036.536052,53.17481793,106.531821,45.11514157,1750.401067,66072.02854,6541.316278,12617.29988,2429.228327,21.18
6/5/2016,18.64348693,1.55591365,14.98633937,25.06151024,42.42087426,3044.950613,53.17860478,106.364977,45.11257249,1748.751244,65923.31659,6543.533789,12570.93406,2431.182569,21.21142857
6/12/2016,18.59364067,1.552854963,14.96103696,25.00798634,42.44258813,3053.283758,53.18242552,106.1986586,45.11036769,1747.106033,65773.0647,6545.803124,12524.35136,2433.117163,21.11571429
6/19/2016,18.5436799,1.549772718,14.93575937,24.95433582,42.46432259,3061.537809,53.18628064,106.032815,45.10853723,1745.465819,65621.41742,6548.122835,12477.58008,2435.032925,20.79530612
6/26/2016,18.49360562,1.546665415,14.91051061,24.90056034,42.48608511,3069.715083,53.19017146,105.8673948,45.10709107,1743.831024,65468.5076,6550.491482,12430.64592,2436.930772,20.19444178
7/3/2016,18.44341656,1.54353162,14.88529401,24.84666026,42.50788204,3077.817816,53.19410011,105.702346,45.10603883,1742.202097,65314.4553,6552.907628,12383.57177,2438.811731,19.67294118
7/10/2016,18.39310922,1.540370008,14.86011213,24.79263449,42.52971825,3085.848109,53.19806961,105.5376166,45.10538982,1740.579513,65159.36721,6555.369907,12336.37745,2440.676953,19.19445378
7/17/2016,18.34267789,1.537179367,14.83496662,24.7384803,42.55159684,3093.80788,53.20208409,105.3731526,45.1051529,1738.96377,65003.33711,6557.877356,12289.07967,2442.527713,18.97714286
7/24/2016,18.29211447,1.533958566,14.80985818,24.68419315,42.57351879,3101.698858,53.20614862,105.2088972,45.10533639,1737.355391,64846.4441,6560.429635,12241.69162,2444.365467,18.73
7/31/2016,18.24140826,1.530706496,14.78478645,24.62976643,42.59548308,3109.522638,53.21026915,105.0447902,45.10594789,1735.754934,64688.75074,6563.027129,12194.22254,2446.191903,18.47142857
8/7/2016,18.19054572,1.527422088,14.75975006,24.57519126,42.61748674,3117.280718,53.21445242,104.8807682,45.106994,1734.162999,64530.30092,6565.671055,12146.67727,2448.008979,18.34428571
